number,value,datetime_start,datetime_complete,duration,params_batch_size,params_conv_filter_0,params_conv_filter_1,params_conv_filter_2,params_conv_kernel_0,params_conv_kernel_1,params_conv_kernel_2,params_epochs,params_latent_space,params_num_conv_layers,params_optimizer,params_pool_size_0,params_pool_size_1,params_pool_size_2,state
32,0.0050520324148237705,2024-01-08 17:44:27.096697,2024-01-08 17:47:33.040271,0 days 00:03:05.943574,128,16,128.0,,1,2.0,,10,30,2,rmsprop,1,1.0,,COMPLETE
33,0.005289082881063223,2024-01-08 17:47:33.041861,2024-01-08 17:50:57.246227,0 days 00:03:24.204366,128,16,128.0,,1,2.0,,11,30,2,rmsprop,1,1.0,,COMPLETE
34,inf,2024-01-08 17:50:57.247845,2024-01-08 17:50:59.510736,0 days 00:00:02.262891,128,128,128.0,8.0,1,2.0,1.0,12,30,3,rmsprop,1,1.0,3.0,COMPLETE
35,0.03544994071125984,2024-01-08 17:50:59.512388,2024-01-08 17:52:20.727324,0 days 00:01:21.214936,64,16,128.0,,1,2.0,,10,20,2,nadam,4,1.0,,COMPLETE
36,inf,2024-01-08 17:52:20.729225,2024-01-08 17:52:22.337393,0 days 00:00:01.608168,128,64,128.0,64.0,1,3.0,2.0,14,30,3,sgd,3,1.0,1.0,COMPLETE
37,0.027708521112799644,2024-01-08 17:52:22.339044,2024-01-08 17:53:47.373117,0 days 00:01:25.034073,32,32,,,1,,,12,10,1,adamax,2,,,COMPLETE
38,0.004831237718462944,2024-01-08 17:53:47.374688,2024-01-08 17:56:21.515305,0 days 00:02:34.140617,64,128,8.0,,3,2.0,,11,30,2,adam,1,1.0,,COMPLETE
39,inf,2024-01-08 17:56:21.517023,2024-01-08 17:56:23.224814,0 days 00:00:01.707791,64,128,8.0,16.0,3,2.0,3.0,9,30,3,adam,3,4.0,2.0,COMPLETE
40,0.007104526739567518,2024-01-08 17:56:23.226570,2024-01-08 17:58:49.457854,0 days 00:02:26.231284,64,128,8.0,,3,3.0,,11,20,2,adam,1,1.0,,COMPLETE
41,0.004832329694181681,2024-01-08 17:58:49.459679,2024-01-08 18:01:48.982711,0 days 00:02:59.523032,64,128,8.0,,3,2.0,,13,30,2,adam,1,1.0,,COMPLETE
42,0.004588843323290348,2024-01-08 18:01:48.984287,2024-01-08 18:05:01.344916,0 days 00:03:12.360629,64,128,8.0,,3,2.0,,14,30,2,adam,1,1.0,,COMPLETE
43,0.004654300399124622,2024-01-08 18:05:01.348783,2024-01-08 18:08:14.421697,0 days 00:03:13.072914,64,128,8.0,,3,2.0,,14,30,2,adam,1,1.0,,COMPLETE
44,0.005820868536829948,2024-01-08 18:08:14.423436,2024-01-08 18:11:07.257130,0 days 00:02:52.833694,256,128,8.0,,3,2.0,,14,30,2,adam,1,1.0,,COMPLETE
45,0.014969692565500736,2024-01-08 18:11:07.258863,2024-01-08 18:13:36.761459,0 days 00:02:29.502596,64,128,8.0,,3,1.0,,15,30,2,adam,1,4.0,,COMPLETE
46,0.0323784276843071,2024-01-08 18:13:36.762925,2024-01-08 18:16:22.772993,0 days 00:02:46.010068,64,32,64.0,,3,2.0,,13,10,2,adadelta,1,1.0,,COMPLETE
47,0.012375978752970695,2024-01-08 18:16:22.774545,2024-01-08 18:18:16.178368,0 days 00:01:53.403823,32,128,,,3,,,14,30,1,adam,4,,,COMPLETE
48,inf,2024-01-08 18:18:16.180038,2024-01-08 18:18:17.673363,0 days 00:00:01.493325,256,64,8.0,,3,1.0,,15,30,2,adamax,2,3.0,,COMPLETE
49,0.021277545019984245,2024-01-08 18:18:17.675217,2024-01-08 18:21:49.027597,0 days 00:03:31.352380,64,128,16.0,,3,2.0,,14,30,2,adagrad,1,1.0,,COMPLETE
